--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,WS,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
51,Shai Gilgeous-Alexander,75.6,CHA,1,11,2018,Kentucky,2018-19,2025-26,20-27,530,521,4,75.6,123,111,52.0,23.6,.207,4.9,1.5,6.3,36.9,24.4,2.4,12.8,7.7,26.9,2.1,2.2,10.1,29.6,G,LACOKC,gilgesh01
52,Luol Deng,74.0,PHO,1,7,2004,Duke,2004-05,2018-19,19-33,902,828,2,74.0,107,105,34.8,39.2,.115,0.7,0.2,0.9,22.9,15.4,5.4,14.6,10.1,11.2,1.5,1.1,10.3,20.6,F,CHICLELALMIAMIN,denglu01
53,Kyle Korver,73.4,NJN,2,51,2003,Creighton,2003-04,2019-20,22-38,1232,423,1,73.4,113,107,42.9,30.5,.113,0.5,0.1,0.6,20.7,12.8,1.3,11.9,6.7,10.4,1.3,1.0,11.5,16.2,G-F,ATLCHICLEMILPHIUTA,korveky01
54,Nenê,73.3,NYK,1,7,2002,,2002-03,2018-19,20-36,965,626,0,73.3,110,103,37.2,36.1,.139,-0.2,1.2,1.0,18.8,17.1,7.6,18.6,13.2,11.2,2.1,2.2,15.3,19.3,F-C,DENHOUWAS,hilarne01
55,Jarrett Allen,73.1,NJN,1,22,2017,Texas,2017-18,2025-26,19-27,624,559,1,73.1,130,108,46.2,27.0,.200,1.5,0.8,2.4,19.4,20.7,11.1,24.5,17.9,9.0,1.2,3.7,12.2,17.0,C-F,BRKCLE,allenja01
56,Serge Ibaka,73.0,OKC,1,24,2008,,2009-10,2022-23,20-33,919,697,0,73.0,112,104,35.7,37.3,.139,0.1,0.4,0.5,15.7,17.1,8.8,19.8,14.4,4.7,0.7,5.5,11.0,19.0,F-C,LACMILOKCORLTOR,ibakase01
57,Clint Capela,72.6,HOU,1,25,2014,,2014-15,2025-26,20-31,739,590,0,72.6,126,108,45.6,27.1,.190,1.6,0.0,1.6,16.5,21.6,15.4,28.5,21.9,6.1,1.3,4.8,10.0,17.4,C,ATLHOU,capelca01
58,Thaddeus Young,71.9,PHI,1,12,2007,Georgia Tech,2007-08,2023-24,19-35,1172,726,0,71.9,108,107,34.0,37.9,.105,0.2,0.3,0.5,20.7,16.4,7.8,14.9,11.3,10.3,2.5,1.2,11.1,20.0,F,BRKCHIINDMINPHIPHOSASTOR,youngth01
59,George Hill,71.0,SAS,1,26,2008,IU Indy,2008-09,2022-23,22-36,915,484,0,71.0,116,107,42.2,28.8,.139,0.3,0.8,1.1,19.4,14.6,2.5,9.8,6.2,17.8,1.7,0.7,11.6,17.3,G,CLEINDMILOKCPHISACSASUTA,hillge01
60,Al Jefferson,71.0,BOS,1,15,2004,,2004-05,2017-18,20-33,915,651,0,71.0,108,105,37.4,33.6,.130,1.5,-0.3,1.2,21.3,20.6,8.9,25.1,16.9,9.7,1.2,3.3,8.2,25.5,C-F,BOSCHACHOINDMINUTA,jeffeal01
61,Domantas Sabonis,71.0,ORL,1,11,2016,Gonzaga,2016-17,2025-26,20-29,665,521,3,71.0,120,111,45.3,25.7,.166,2.2,1.2,3.3,27.6,20.5,9.9,28.8,19.3,23.7,1.2,1.3,16.5,22.0,C-F,INDOKCSAC,sabondo01
62,Joel Embiid,69.0,PHI,1,3,2014,Kansas,2016-17,2025-26,22-31,490,490,7,69.0,117,106,41.9,27.1,.212,5.2,1.5,6.7,34.3,28.0,7.7,29.3,18.7,21.0,1.4,4.4,13.0,35.3,C,PHI,embiijo01
63,Jayson Tatum,67.2,BOS,1,3,2017,Duke,2017-18,2025-26,19-27,601,601,6,67.2,115,108,35.3,31.8,.156,3.2,0.6,3.8,30.3,20.3,2.8,20.3,11.7,18.3,1.6,1.7,10.5,28.6,F,BOS,tatumja01
64,Luka Dončić,66.6,ATL,1,3,2018,,2018-19,2025-26,19-26,514,514,6,66.6,116,111,43.4,23.3,.178,6.7,1.2,7.8,44.8,25.8,2.9,23.9,13.5,41.4,1.8,1.2,13.8,35.8,G-F,DALLAL,doncilu01
65,Harrison Barnes,66.4,GSW,1,7,2012,North Carolina,2012-13,2025-26,20-33,1070,984,0,66.4,115,113,42.9,23.5,.097,0.2,-0.9,-0.8,10.0,13.6,3.6,13.0,8.3,8.3,1.1,0.5,8.6,18.3,F,DALGSWSACSAS,barneha02
66,Draymond Green,66.3,GSW,2,35,2012,Michigan State,2012-13,2025-26,22-35,949,794,4,66.3,109,105,20.3,46.0,.117,-0.7,2.8,2.1,27.9,14.1,4.2,21.2,12.9,25.9,2.2,2.8,22.5,15.6,F,GSW,greendr01
67,Yao Ming,65.9,HOU,1,1,2002,,2002-03,2010-11,22-30,486,476,8,65.9,112,99,36.7,29.3,.200,2.0,1.2,3.2,20.7,23.0,9.3,23.3,16.5,9.6,0.6,4.4,14.5,26.8,C,HOU,mingya01
68,Lou Williams,65.7,PHI,2,45,2005,,2005-06,2021-22,19-35,1123,122,0,65.7,111,111,46.6,19.2,.116,2.3,-0.9,1.4,23.2,18.0,1.8,8.5,5.1,22.8,1.8,0.6,11.8,26.2,G,ATLHOULACLALPHITOR,willilo02
69,Danilo Gallinari,65.4,NYK,1,6,2008,,2008-09,2023-24,20-35,777,563,0,65.4,119,112,50.7,14.7,.140,2.4,-0.7,1.7,20.8,16.8,2.6,15.2,8.9,9.9,1.2,0.9,8.5,20.9,F,ATLDENDETLACMILNYKOKCWAS,gallida01
70,Marvin Williams,65.1,ATL,1,2,2005,North Carolina,2005-06,2019-20,19-33,1072,828,0,65.1,111,108,36.3,28.9,.104,-0.3,-0.1,-0.4,12.3,13.6,4.8,16.3,10.5,7.2,1.4,1.5,9.3,16.6,F,ATLCHOMILUTA,willima02
71,Trevor Ariza,64.3,NYK,2,43,2004,UCLA,2004-05,2021-22,19-36,1118,769,0,64.3,107,106,24.9,39.4,.094,-0.3,1.0,0.6,21.8,13.1,3.8,14.8,9.3,11.0,2.5,0.9,12.0,16.6,F,HOULALMIANOHNYKORLPHOPORSACWAS,arizatr01
72,Bam Adebayo,64.0,MIA,1,14,2017,Kentucky,2017-18,2025-26,20-28,640,536,3,64.0,116,108,32.3,31.7,.156,1.0,1.4,2.5,22.2,19.7,8.0,24.4,16.2,18.5,1.7,2.6,13.1,22.7,C-F,MIA,adebaba01
73,Steven Adams,63.7,OKC,1,12,2013,Pittsburgh,2013-14,2025-26,20-32,796,655,0,63.7,119,107,35.4,28.4,.149,0.2,0.3,0.5,12.9,17.0,15.3,18.3,16.9,8.1,1.6,3.0,15.9,14.5,C,HOUMEMNOPOKC,adamsst01
74,JJ Redick,63.7,ORL,1,11,2006,Duke,2006-07,2020-21,22-36,940,488,0,63.7,117,111,48.2,15.6,.128,1.7,-1.1,0.6,16.0,14.9,0.8,7.9,4.4,12.3,0.9,0.3,9.4,20.4,G,DALLACMILNOPORLPHI,redicjj01
75,Gordon Hayward,63.5,UTA,1,9,2010,Butler,2010-11,2023-24,20-33,835,649,1,63.5,112,110,41.0,22.5,.119,1.6,-0.1,1.6,23.0,16.9,2.8,13.5,8.1,18.6,1.6,1.1,12.5,22.3,F-G,BOSCHOOKCUTA,haywago01
