--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,,,,,,,Per 36 MP,,,,,,,,,,,,,,,,,,,,,,,,,-additional
Rk,Player,WS,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
1092,Nathan Jawai,0.2,IND,2,41,2008,,2008-09,2009-10,22-23,45,2,0,4.2,9.6,4.2,9.5,0.0,0.1,2.2,3.2,4.2,4.7,8.9,2.0,0.8,0.8,2.4,5.1,10.5,.435,.439,.000,.684,.478,.435,C-F,MINTOR,jawaina01
1093,Quinndary Weatherspoon,0.2,SAS,2,49,2019,Mississippi State,2019-20,2021-22,23-25,42,0,0,4.4,9.7,4.0,7.5,0.4,2.1,2.5,3.0,0.8,3.4,4.2,3.2,1.6,0.5,2.4,5.4,11.6,.452,.526,.188,.826,.529,.473,G,GSWSAS,weathqu01
1094,Tyler Lydon,0.2,UTA,1,24,2017,Syracuse,2017-18,2018-19,21-22,26,0,0,3.4,6.8,1.9,3.0,1.5,3.7,0.4,1.1,2.6,4.1,6.8,2.3,0.7,0.0,1.5,3.7,8.6,.500,.625,.400,.333,.595,.611,F,DEN,lydonty01
1095,Harrison Ingram,0.2,SAS,2,48,2024,North Carolina,2024-25,2025-26,22-23,12,0,0,4.1,5.9,3.5,4.7,0.6,1.2,0.0,0.0,3.0,4.1,7.1,2.4,1.8,0.0,1.2,2.4,8.9,.700,.750,.500,,.750,.750,F,SAS,ingraha01
1096,Josh Christopher,0.2,HOU,1,24,2021,Arizona State,2021-22,2024-25,20-23,152,4,0,6.4,14.1,5.1,9.4,1.3,4.8,2.2,2.9,1.2,3.2,4.4,3.8,1.7,0.5,3.0,2.6,16.2,.451,.541,.273,.737,.526,.497,G,HOUMIA,chrisjo01
1097,Luke Jackson,0.2,CLE,1,10,2004,Oregon,2004-05,2007-08,23-26,73,3,0,4.2,11.7,2.6,7.3,1.6,4.4,2.6,3.5,1.3,3.1,4.4,2.9,1.2,0.1,2.4,3.5,12.5,.357,.356,.360,.732,.473,.426,F,CLELACMIATOR,jackslu02
1098,Ruben Boumtje-Boumtje,0.2,POR,2,50,2001,Georgetown,2001-02,2003-04,23-25,44,1,0,1.8,5.0,1.8,5.0,0.0,0.0,2.0,3.5,2.9,4.6,7.4,0.8,0.5,2.2,1.8,5.2,5.6,.368,.368,,.556,.431,.368,C,POR,boumtru01
1099,Cam Christie,0.2,LAC,2,46,2024,Minnesota,2024-25,2025-26,19-20,68,0,0,4.0,10.9,3.1,6.7,0.9,4.1,2.7,3.6,1.5,4.5,6.0,2.5,1.4,0.3,1.6,1.5,11.6,.368,.455,.226,.741,.466,.411,G,LAC,chrisca02
1100,Erick Barkley,0.2,POR,1,28,2000,St. John's (NY),2000-01,2001-02,22-23,27,4,0,4.3,12.2,3.8,10.2,0.5,2.0,1.2,1.4,0.7,2.2,2.8,5.4,2.6,0.1,2.3,4.2,10.4,.356,.373,.267,.900,.408,.378,G,POR,barkler01
1101,Cassius Winston,0.1,OKC,2,53,2020,Michigan State,2020-21,2021-22,22-23,29,0,0,4.7,11.6,2.1,5.5,2.6,6.0,2.4,2.6,0.0,2.6,2.6,5.0,0.5,0.3,2.1,4.5,14.5,.409,.381,.435,.900,.568,.523,G,WAS,winstca01
1102,J.R. Giddens,0.1,BOS,1,30,2008,New Mexico,2008-09,2009-10,23-24,38,1,0,4.4,9.2,4.4,7.7,0.0,1.5,1.9,3.4,2.6,5.2,7.9,1.9,1.5,0.3,2.6,4.4,10.6,.476,.566,.000,.565,.499,.476,G,BOSNYK,giddejr01
1103,Brice Johnson,0.1,LAC,1,25,2016,North Carolina,2016-17,2017-18,22-23,21,0,0,7.4,16.5,7.4,16.1,0.0,0.3,1.0,1.7,3.4,8.1,11.4,1.0,3.7,2.4,2.0,4.4,15.8,.449,.458,.000,.600,.459,.449,F,LACMEM,johnsbr02
1104,Doron Lamb,0.1,MIL,2,42,2012,Kentucky,2012-13,2013-14,21-22,100,0,0,3.5,9.1,2.1,5.5,1.4,3.6,1.4,2.0,0.5,2.2,2.7,2.1,0.7,0.0,1.5,3.0,9.8,.381,.372,.394,.700,.488,.458,G,MILORL,lambdo01
1105,Dee Brown,0.1,UTA,2,46,2006,Illinois,2006-07,2008-09,22-24,68,11,0,2.5,7.4,1.9,4.8,0.7,2.6,1.4,2.1,0.8,2.7,3.5,6.0,1.6,0.4,2.4,4.0,7.1,.340,.389,.250,.643,.423,.384,G,PHOUTAWAS,brownde03
1106,Semaj Christon,0.1,MIA,2,55,2014,Xavier,2016-17,2016-17,24,64,1,0,2.8,8.3,2.4,5.9,0.4,2.3,0.6,1.1,0.7,2.5,3.2,4.8,1.0,0.3,1.6,2.9,6.8,.345,.406,.190,.548,.387,.372,G,OKC,chrisse01
1107,Thomas Welsh,0.1,DEN,2,58,2018,UCLA,2018-19,2018-19,22,11,0,0,7.0,13.0,4.0,6.0,3.0,7.0,1.0,2.0,0.0,4.0,4.0,5.0,0.0,0.0,1.0,3.0,18.0,.538,.667,.429,.500,.648,.654,C,DEN,welshth01
1108,Kendall Brown,0.1,MIN,2,48,2022,Baylor,2022-23,2023-24,19-20,21,0,0,4.2,7.7,4.2,6.6,0.0,1.0,2.1,3.5,1.7,2.1,3.8,2.8,1.4,0.0,1.4,6.3,10.5,.545,.632,.000,.600,.568,.545,G-F,IND,brownke03
1109,Bobi Klintman,0.1,MIN,2,37,2024,,2024-25,2025-26,21-22,20,0,0,4.8,11.8,2.9,6.1,1.9,5.7,0.3,1.6,1.9,6.4,8.3,4.1,1.6,0.3,2.2,6.1,11.8,.405,.474,.333,.200,.472,.486,F,DET,klintbo01
1110,Tyrone Wallace,0.1,UTA,2,60,2016,California,2017-18,2021-22,23-27,112,19,0,4.7,11.1,4.3,9.4,0.4,1.7,2.2,3.3,0.9,4.0,5.0,2.7,1.2,0.5,2.0,4.0,11.9,.422,.462,.207,.656,.474,.438,G,ATLLACNOP,wallaty01
1111,Derrick Byars,0.1,POR,2,42,2007,Vanderbilt,2011-12,2011-12,27,2,0,0,2.9,10.7,2.9,4.9,0.0,5.8,3.9,3.9,5.8,4.9,10.7,1.0,1.9,0.0,0.0,1.9,9.7,.273,.600,.000,1.000,.392,.273,F,SAS,byarsde01
1112,Igor Rakočević,0.1,MIN,2,51,2000,,2002-03,2002-03,24,42,0,0,3.2,8.6,2.5,6.8,0.7,1.8,4.3,5.3,0.6,1.9,2.5,4.9,0.6,0.0,3.4,3.7,11.5,.379,.370,.417,.806,.528,.422,G,MIN,rakocig01
1113,Antonis Fotsis,0.1,MEM,2,48,2001,,2001-02,2001-02,20,28,1,0,4.7,11.7,3.9,9.1,0.8,2.6,1.9,2.3,2.8,4.2,7.0,1.1,1.0,1.2,2.4,2.5,12.2,.404,.432,.304,.850,.479,.438,F,MEM,fotsian01
1114,Erick Green,0.1,UTA,2,46,2013,Virginia Tech,2014-15,2015-16,23-24,52,1,0,5.3,13.9,4.1,9.8,1.2,4.1,1.0,1.1,0.8,2.2,2.9,3.3,1.0,0.0,1.1,2.4,12.7,.377,.415,.288,.857,.439,.420,G,DENUTA,greener01
1115,Grant Riller,0.1,CHA,2,56,2020,College of Charleston,2020-21,2020-21,23,7,0,0,10.7,16.0,8.0,10.7,2.7,5.3,0.0,0.0,0.0,1.3,1.3,4.0,1.3,0.0,1.3,0.0,24.0,.667,.750,.500,,.750,.750,G,CHO,rillegr01
1116,Tremont Waters,0.1,BOS,2,51,2019,Louisiana State,2019-20,2021-22,22-24,40,4,0,4.6,13.0,2.7,6.7,1.9,6.3,2.1,2.2,0.4,2.8,3.3,7.5,2.7,0.3,4.1,3.0,13.2,.354,.408,.296,.960,.472,.425,G,BOSTORWAS,watertr01
1117,Kaniel Dickens,0.1,UTA,2,50,2000,Idaho,2003-04,2007-08,25-29,19,0,0,3.4,8.5,2.1,4.7,1.3,3.8,1.3,1.7,2.1,3.0,5.1,0.8,0.8,0.8,1.3,3.8,9.3,.400,.455,.333,.750,.506,.475,F,CLENJNPOR,dickeka01
1118,Jason Preston,0.1,ORL,2,33,2021,Ohio,2022-23,2023-24,23-24,21,0,0,4.4,11.1,3.5,7.2,0.9,3.9,0.0,0.4,1.5,5.7,7.2,7.9,0.7,0.2,2.2,1.8,9.8,.400,.487,.238,.000,.435,.442,G,LACUTA,prestja01
1119,Ndudi Ebi,0.1,MIN,1,26,2003,,2003-04,2004-05,19-20,19,0,0,7.1,14.7,7.1,14.2,0.0,0.4,2.5,5.4,3.3,4.6,8.0,1.7,0.4,2.1,2.5,5.4,16.7,.486,.500,.000,.462,.491,.486,F,MIN,ebind01
1120,Alvin Jones,0.1,PHI,2,57,2001,Georgia Tech,2001-02,2001-02,23,23,2,0,2.3,5.7,2.3,5.7,0.0,0.0,2.9,5.7,3.7,6.6,10.3,0.9,0.9,2.6,3.1,10.0,7.4,.400,.400,,.500,.451,.400,C,PHI,jonesal01
1121,John Tonje,0.1,UTA,2,53,2025,Wisconsin,2025-26,2025-26,24,6,0,0,3.4,12.0,0.9,3.4,2.6,8.6,3.4,3.4,0.0,5.1,5.1,1.7,1.7,0.0,0.0,4.3,12.9,.286,.250,.300,1.000,.476,.393,G,BOS,tonjejo01
1122,Ray Spalding,0.1,PHI,2,56,2018,Louisville,2018-19,2020-21,21-23,16,3,0,5.8,11.0,5.8,10.1,0.0,0.9,0.9,3.0,3.7,7.5,11.2,1.1,1.9,2.2,2.6,5.6,12.5,.529,.574,.000,.286,.507,.529,F,DALHOUPHO,spaldra01
1123,Cedric Simmons,0.1,NOH,1,15,2006,NC State,2006-07,2008-09,21-23,75,4,0,3.6,8.7,3.6,8.7,0.0,0.0,1.2,3.0,2.8,4.4,7.2,0.7,0.6,1.6,1.5,4.6,8.3,.409,.409,,.390,.414,.409,F,CHICLENOKSAC,simmoce01
1124,Antonio Burks,0.1,ORL,2,36,2004,Memphis,2004-05,2005-06,24-25,81,1,0,3.6,9.3,3.4,8.5,0.2,0.8,1.1,1.9,0.2,2.0,2.2,4.7,1.5,0.0,2.2,3.2,8.5,.387,.401,.235,.571,.418,.397,G,MEM,burksan01
1125,Joe Wieskamp,0.1,SAS,2,41,2021,Iowa,2021-22,2022-23,22-23,38,0,0,3.2,9.9,0.8,2.1,2.4,7.8,1.0,1.8,0.6,2.0,2.5,1.7,0.6,0.4,0.4,2.4,9.9,.329,.400,.309,.538,.462,.450,G,SASTOR,wieskjo01
1126,Chinanu Onuaku,0.1,HOU,2,37,2016,Louisville,2016-17,2017-18,20-21,6,1,0,3.4,5.8,3.4,5.8,0.0,0.0,1.9,1.9,1.5,5.4,6.8,1.9,1.5,0.5,3.4,4.9,8.8,.583,.583,,1.000,.654,.583,F-C,HOU,onuakch01
1127,Frank Williams,0.1,DEN,1,25,2002,Illinois,2002-03,2004-05,22-24,86,3,0,3.5,9.9,2.6,6.8,0.9,3.0,1.7,2.0,0.5,2.4,2.9,6.3,1.3,0.4,3.1,3.3,9.6,.352,.376,.300,.833,.444,.398,G,CHINYK,willifr02
1128,Javaris Crittenton,0.1,LAL,1,19,2007,Georgia Tech,2007-08,2008-09,20-21,113,10,0,4.4,10.1,4.2,9.1,0.2,1.0,2.4,3.8,1.6,3.7,5.4,3.9,1.1,0.2,2.7,2.9,11.6,.442,.466,.231,.638,.492,.454,G,LALMEMWAS,crittja01
1129,Uroš Slokar,0.1,TOR,2,58,2005,,2006-07,2006-07,23,20,0,0,7.0,13.0,6.5,12.0,0.5,1.0,4.5,6.5,3.5,3.5,7.0,0.5,0.5,1.0,4.5,5.5,19.0,.538,.542,.500,.692,.599,.558,F,TOR,slokaur01
1130,Andre Emmett,0.1,OKC,2,35,2004,Texas Tech,2004-05,2011-12,22-29,14,0,0,3.0,6.4,3.0,5.9,0.0,0.5,3.9,6.4,1.0,3.0,3.9,0.5,1.0,0.5,1.5,3.0,9.9,.462,.500,.000,.615,.534,.462,F,MEMNJN,emmetan01
1131,Corsley Edwards,0.1,SAC,2,58,2002,Central Connecticut State,2004-05,2004-05,25,10,0,0,3.3,10.1,3.3,10.1,0.0,0.0,2.3,3.9,3.9,4.3,8.2,1.0,1.0,1.3,0.7,6.2,8.8,.323,.323,,.583,.372,.323,F,NOH,edwarco01
1132,C.J. Wilcox,0.1,LAC,1,28,2014,Washington,2014-15,2016-17,24-26,66,0,0,4.8,12.9,3.0,7.5,1.8,5.5,1.2,1.5,0.6,2.4,3.0,2.9,1.4,0.4,1.7,2.9,12.6,.370,.397,.333,.813,.465,.441,G,LACORL,wilcocj01
1133,Lamar Patterson,0.1,MIL,2,48,2014,Pittsburgh,2015-16,2016-17,24-25,40,0,0,2.6,7.9,1.5,3.3,1.1,4.6,1.5,2.1,0.4,4.3,4.7,3.7,0.8,0.2,2.2,4.2,7.7,.326,.450,.236,.720,.439,.395,G-F,ATL,pattela01
1134,Travis Leslie,0.1,LAC,2,47,2011,Georgia,2011-12,2011-12,21,10,0,0,4.0,11.2,4.0,11.2,0.0,0.0,3.2,7.2,4.8,2.4,7.2,4.0,1.6,1.6,1.6,3.2,11.2,.357,.357,,.444,.390,.357,G,LAC,leslitr01
1135,Jordan Bone,0.1,NOH,2,57,2019,Tennessee,2019-20,2020-21,22-23,24,0,0,4.0,10.7,2.3,4.6,1.7,6.1,0.0,0.0,0.6,3.5,4.0,3.8,0.4,0.0,0.7,2.5,9.8,.378,.500,.286,,.459,.459,G,DETORL,bonejo01
1136,Malaki Branham,0.1,SAS,1,20,2022,Ohio State,2022-23,2025-26,19-22,216,61,0,6.3,14.2,4.2,8.2,2.0,6.0,1.6,1.9,0.7,3.3,4.0,3.2,0.8,0.2,2.0,2.4,16.2,.441,.516,.339,.840,.537,.513,G,SASWAS,branhma01
1137,James Lang,0.1,NOH,2,48,2003,,2006-07,2006-07,23,11,0,0,2.6,5.9,2.6,5.9,0.0,0.0,2.0,3.3,3.3,3.9,7.2,1.3,0.0,2.0,1.3,9.2,7.2,.444,.444,,.600,.491,.444,C,WAS,langja01
1138,Kyle Guy,0.1,NYK,2,55,2019,Virginia,2019-20,2021-22,22-24,53,0,0,4.8,13.2,2.5,5.8,2.3,7.4,2.0,2.7,0.8,3.7,4.4,4.2,1.1,0.1,2.0,2.8,13.8,.361,.435,.303,.750,.479,.446,G,MIASAC,guyky01
1139,Ryan Reid,0.1,IND,2,57,2010,Florida State,2011-12,2011-12,25,5,0,0,8.5,10.6,8.5,10.6,0.0,0.0,0.0,0.0,2.1,2.1,4.2,0.0,0.0,0.0,2.1,2.1,16.9,.800,.800,,,.800,.800,F,OKC,reidry01
1140,Sonny Weems,0.0,CHI,2,39,2008,Arkansas,2008-09,2015-16,22-29,183,47,0,5.5,11.9,5.2,10.6,0.4,1.3,1.4,2.0,0.9,3.4,4.3,2.8,0.9,0.3,2.1,2.9,12.8,.465,.487,.283,.702,.501,.480,G-F,DENPHIPHOTOR,weemsso01
1141,Kosta Perović,0.0,GSW,2,38,2006,,2007-08,2007-08,22,7,0,0,2.8,9.5,2.8,9.5,0.0,0.0,3.8,5.7,5.7,6.6,12.3,0.9,0.0,1.9,0.9,5.7,9.5,.300,.300,,.667,.396,.300,C,GSW,perovko01
1142,Alijah Martin,0.0,TOR,2,39,2025,Florida,2025-26,2025-26,24,23,0,0,3.9,12.3,3.0,7.2,1.0,5.2,3.7,4.7,2.2,3.0,5.2,3.0,2.0,1.0,2.0,3.0,12.6,.320,.414,.190,.789,.437,.360,G,TOR,martial01
1143,Carrick Felix,0.0,CLE,2,33,2013,Arizona State,2013-14,2013-14,23,7,0,0,6.6,13.3,4.7,8.5,1.9,4.7,2.8,3.8,0.9,4.7,5.7,3.8,0.0,0.0,3.8,3.8,18.0,.500,.556,.400,.750,.603,.571,G,CLE,felixca01
1144,Ike Anigbogu,0.0,IND,2,47,2017,UCLA,2017-18,2018-19,19-20,14,0,0,4.0,12.0,4.0,12.0,0.0,0.0,5.0,6.0,6.0,6.0,12.0,1.0,1.0,4.0,3.0,1.0,13.0,.333,.333,,.833,.444,.333,F-C,IND,anigbik01
1145,Hamady N'Diaye,0.0,MIN,2,56,2010,Rutgers,2010-11,2013-14,24-27,33,0,0,1.6,3.4,1.6,3.4,0.0,0.0,1.4,3.0,1.6,4.1,5.7,0.7,0.5,2.1,1.4,7.6,4.6,.467,.467,,.462,.483,.467,C,SACWAS,ndiayha01
1146,Branden Dawson,0.0,NOH,2,56,2015,Michigan State,2015-16,2015-16,22,6,0,0,2.5,6.2,2.5,6.2,0.0,0.0,1.2,1.2,2.5,2.5,5.0,0.0,0.0,1.2,0.0,2.5,6.2,.400,.400,,1.000,.460,.400,F,LAC,dawsobr01
1147,Sean Singletary,0.0,SAC,2,42,2008,Virginia,2008-09,2008-09,23,37,2,0,3.7,10.1,2.5,7.1,1.2,3.0,2.1,2.5,1.2,3.0,4.2,3.4,1.3,0.0,2.7,5.3,10.7,.365,.350,.400,.857,.478,.424,G,CHAPHO,singlse01
1148,Pierre Jackson,0.0,PHI,2,42,2013,Baylor,2016-17,2016-17,25,8,1,0,5.6,16.7,4.3,12.0,1.3,4.7,2.6,3.0,0.4,3.4,3.9,8.1,0.9,0.0,1.3,2.1,15.0,.333,.357,.273,.857,.416,.372,G,DAL,jackspi01
1149,Solomon Alabi,0.0,DAL,2,50,2010,Florida State,2010-11,2011-12,22-23,26,0,0,3.2,10.1,3.2,10.1,0.0,0.0,1.4,2.0,4.4,7.8,12.1,1.0,0.8,2.2,1.6,3.2,7.8,.314,.314,,.700,.352,.314,C,TOR,alabiso01
1150,Morris Almond,0.0,UTA,1,25,2007,Rice,2007-08,2011-12,22-26,38,1,0,4.3,11.3,3.6,8.9,0.7,2.4,2.6,3.5,1.0,3.6,4.6,1.2,1.2,0.4,1.9,4.2,11.9,.381,.404,.292,.743,.463,.412,G,UTAWAS,almonmo01
1151,Džanan Musa,0.0,NJN,1,29,2018,,2018-19,2019-20,19-20,49,0,0,5.0,13.3,3.6,7.3,1.4,6.0,3.1,4.2,1.5,4.7,6.2,3.1,1.2,0.1,2.7,2.1,14.4,.376,.500,.227,.726,.477,.428,G-F,BRK,musadz01
1152,Randy Holcomb,0.0,SAS,2,57,2002,San Diego State,2005-06,2005-06,26,4,0,0,3.3,3.3,3.3,3.3,0.0,0.0,0.0,0.0,3.3,0.0,3.3,0.0,0.0,0.0,0.0,6.5,6.5,1.000,1.000,,,1.000,1.000,F,CHI,holcora01
1153,Isaiah Wong,0.0,IND,2,55,2023,Miami (FL),2023-24,2024-25,23-24,21,0,0,5.6,14.5,3.9,9.9,1.7,4.6,3.3,4.6,1.9,2.4,4.3,3.7,1.5,0.0,2.4,2.8,16.3,.389,.392,.382,.735,.496,.449,G,CHOIND,wongis01
1154,Andrew Goudelock,0.0,LAL,2,46,2011,College of Charleston,2011-12,2015-16,23-27,49,0,0,5.8,14.9,3.6,8.5,2.2,6.4,1.1,1.2,0.5,2.0,2.6,1.8,0.8,0.2,2.1,2.7,14.9,.393,.429,.345,.875,.485,.467,G,HOULAL,goudean01
1155,Zhaire Smith,0.0,PHO,1,16,2018,Texas Tech,2018-19,2019-20,19-20,13,2,0,4.3,11.3,2.8,6.5,1.5,4.8,2.0,3.0,0.8,3.0,3.8,3.0,1.3,0.5,2.0,3.0,12.1,.378,.423,.316,.667,.477,.444,G,PHI,smithzh01
1156,Jackson Vroman,0.0,CHI,2,31,2004,Iowa State,2004-05,2005-06,23-24,87,20,0,3.5,8.6,3.5,8.5,0.0,0.1,2.2,3.9,3.1,5.3,8.5,1.7,1.2,1.0,2.8,5.9,9.2,.408,.412,.000,.580,.449,.408,F-C,NOHNOKPHO,vromaja01
1157,Martynas Andriuškevičius,0.0,ORL,2,44,2005,,2005-06,2005-06,19,6,0,0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,12.0,16.0,0.0,8.0,0.0,0.0,4.0,0.0,.000,.000,,,.000,.000,C,CLE,andrima01
1158,Dewan Hernandez,0.0,TOR,2,59,2019,Miami (FL),2019-20,2019-20,23,6,0,0,6.4,18.0,5.1,15.4,1.3,2.6,3.9,6.4,6.4,11.6,18.0,3.9,1.3,0.0,3.9,7.7,18.0,.357,.333,.500,.600,.432,.393,F,TOR,hernade01
1159,Kam Jones,0.0,SAS,2,38,2025,Marquette,2025-26,2025-26,23,37,7,0,4.0,9.9,2.7,5.5,1.3,4.4,0.2,0.5,0.9,2.6,3.5,7.0,1.1,0.0,2.1,2.3,9.5,.402,.489,.293,.500,.470,.467,G,IND,joneska03
1160,Scottie Lewis,0.0,CHA,2,56,2021,Florida,2021-22,2021-22,21,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,10.3,0.0,0.0,0.0,5.1,5.1,0.0,0.0,0.0,5.1,,,,.500,.568,,G,CHO,lewissc01
1161,Nigel Williams-Goss,0.0,UTA,2,55,2017,Gonzaga,2019-20,2019-20,25,10,0,0,3.6,11.5,2.2,6.5,1.4,5.0,1.4,1.4,1.4,2.9,4.3,4.3,2.2,0.7,2.2,4.3,10.1,.313,.333,.286,1.000,.415,.375,G,UTA,willini01
1162,Joe Crawford,0.0,LAL,2,58,2008,Kentucky,2008-09,2008-09,22,2,0,0,4.7,15.7,3.1,9.4,1.6,6.3,3.1,3.1,1.6,4.7,6.3,1.6,1.6,0.0,0.0,3.1,14.1,.300,.333,.250,1.000,.414,.350,F,NYK,crawfjo01
1163,Luka Šamanić,0.0,SAS,1,19,2019,,2019-20,2023-24,20-24,86,16,0,5.4,13.1,4.0,7.4,1.4,5.7,2.8,4.0,1.5,6.7,8.2,2.1,0.7,0.7,2.3,3.8,15.0,.411,.537,.247,.706,.504,.464,F,SASUTA,samanlu01
1164,Fab Melo,0.0,BOS,1,22,2012,Syracuse,2012-13,2012-13,22,6,0,0,3.0,6.0,3.0,6.0,0.0,0.0,1.0,4.0,0.0,3.0,3.0,0.0,2.0,2.0,1.0,7.0,7.0,.500,.500,,.250,.451,.500,C,BOS,melofa01
1165,Robert Whaley,0.0,UTA,2,51,2005,Walsh,2005-06,2005-06,23,23,0,0,3.9,9.7,3.9,9.7,0.0,0.0,0.5,1.0,2.7,4.6,7.3,2.9,1.2,1.4,2.4,7.0,8.3,.404,.404,,.500,.411,.404,C,UTA,whalero01
1166,Guillermo Díaz,0.0,LAC,2,52,2006,Miami (FL),2007-08,2007-08,22,6,0,0,2.0,8.0,2.0,6.0,0.0,2.0,6.0,10.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,10.0,.250,.333,.000,.600,.403,.250,G,LAC,diazgu01
1167,Trey Thompkins,0.0,LAC,2,37,2011,Georgia,2011-12,2011-12,21,24,0,0,7.3,18.5,6.1,14.5,1.2,3.9,1.5,2.1,1.2,6.1,7.3,0.9,0.9,0.9,1.8,3.0,17.2,.393,.417,.308,.714,.445,.426,F,LAC,thomptr02
1168,Dan McClintock,0.0,DEN,2,53,2000,Northern Arizona,2000-01,2000-01,23,6,1,0,5.6,11.2,5.6,11.2,0.0,0.0,0.0,3.1,6.2,4.3,10.6,0.6,0.0,1.2,1.9,6.8,11.2,.500,.500,,.000,.446,.500,C,DEN,mcclida01
1169,Dajuan Wagner,0.0,CLE,1,6,2002,Memphis,2002-03,2006-07,19-23,103,28,0,5.8,15.8,4.3,11.1,1.5,4.7,2.7,3.5,0.5,1.8,2.3,3.2,1.1,0.2,2.2,3.5,15.8,.366,.385,.321,.770,.454,.414,G,CLEGSW,wagneda02
1170,Filip Petrušev,0.0,PHI,2,50,2021,Gonzaga,2023-24,2023-24,23,3,0,0,3.6,7.2,3.6,7.2,0.0,0.0,3.6,7.2,0.0,3.6,3.6,0.0,0.0,0.0,0.0,3.6,10.8,.500,.500,,.500,.521,.500,F-C,PHISAC,petrufi01
1171,Julius Hodge,0.0,DEN,1,20,2005,NC State,2005-06,2006-07,22-23,23,1,0,4.0,9.2,4.0,9.2,0.0,0.0,2.2,4.4,2.6,2.9,5.5,6.6,2.2,0.0,4.0,4.8,10.3,.440,.440,,.500,.462,.440,G,DENMIL,hodgeju01
1172,Derrick Zimmerman,0.0,GSW,2,40,2003,Mississippi State,2005-06,2005-06,24,2,0,0,2.3,3.4,2.3,3.4,0.0,0.0,0.0,0.0,1.1,3.4,4.5,7.9,0.0,0.0,4.5,4.5,4.5,.667,.667,,,.667,.667,G,NJN,zimmede01
1173,Jermareo Davidson,0.0,GSW,2,36,2007,Alabama,2007-08,2008-09,23-24,52,2,0,5.7,13.3,5.7,13.3,0.0,0.0,2.2,3.7,2.6,5.4,8.0,1.2,0.7,1.5,1.8,4.8,13.5,.425,.425,,.578,.451,.425,F,CHAGSW,davidje01
1174,Ulrich Chomche,0.0,MEM,2,57,2024,,2024-25,2024-25,19,7,0,0,2.3,5.6,2.3,5.6,0.0,0.0,1.1,2.3,4.5,4.5,9.0,2.3,0.0,1.1,2.3,5.6,5.6,.400,.400,,.500,.425,.400,F-C,TOR,chomcul01
1175,Quincy Douby,0.0,SAC,1,19,2006,Rutgers,2006-07,2008-09,22-24,143,0,0,5.2,13.4,3.6,8.3,1.6,5.1,1.8,2.0,0.8,2.8,3.6,2.2,1.2,0.5,2.0,3.0,13.8,.389,.436,.312,.884,.483,.448,G,SACTOR,doubyqu01
1176,JamesOn Curry,0.0,CHI,2,51,2007,Oklahoma State,2009-10,2009-10,24,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,G,LAC,curryja01
1177,Gani Lawal,0.0,PHO,2,46,2010,Georgia Tech,2010-11,2010-11,22,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,,,,,,,F,PHO,lawalga01
1178,Keith Benson,0.0,ATL,2,48,2011,Oakland,2011-12,2011-12,23,3,0,0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,.000,.000,,,.000,.000,C,GSW,bensoke02
1179,Daniel Hamilton,0.0,DEN,2,56,2016,Connecticut,2017-18,2018-19,22-23,25,3,0,4.3,11.0,2.8,6.7,1.6,4.3,0.5,0.9,1.6,6.5,8.1,4.7,1.1,0.2,2.8,3.3,10.7,.394,.419,.357,.500,.468,.465,G-F,ATLOKC,hamilda02
1180,A.J. Hammons,0.0,DAL,2,46,2016,Purdue,2016-17,2016-17,24,22,0,0,3.8,9.3,2.7,7.1,1.1,2.2,2.0,4.4,1.8,6.2,8.0,0.9,0.2,2.9,2.2,4.6,10.6,.405,.375,.500,.450,.472,.464,C,DAL,hammoaj01
1181,Will Solomon,0.0,MEM,2,33,2001,Clemson,2001-02,2008-09,23-30,115,13,0,5.0,13.1,3.3,7.5,1.7,5.6,1.7,2.4,0.5,2.5,3.0,5.1,1.4,0.2,2.6,3.3,13.3,.378,.439,.298,.692,.469,.443,G,MEMSACTOR,solomwi01
1182,Marcus Paige,0.0,NJN,2,55,2016,North Carolina,2017-18,2017-18,24,5,0,0,5.1,18.0,2.6,7.7,2.6,10.3,2.6,2.6,0.0,5.1,5.1,3.9,0.0,0.0,0.0,0.0,15.4,.286,.333,.250,1.000,.403,.357,G,CHO,paigema01
1183,Chris Owens,0.0,MIL,2,48,2002,Texas,2002-03,2002-03,23,1,0,0,12.0,18.0,12.0,18.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,24.0,.667,.667,,,.667,.667,F,MEM,owensch01
