--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
54,Sean Singletary,2079,SAC,2,42,2008,Virginia,2004-05,2007-08,123,123,14.4,,,8.5,5.9,.143,,,,,,,6.8,31.2,,0.1,17.4,27.7,G,Virginia,sean-singletary-1
55,Hakim Warrick,2073,MEM,1,19,2005,Syracuse,2001-02,2004-05,135,119,20.9,,,10.8,10.0,.199,,,,,,,12.8,10.4,,2.0,14.7,25.5,F,Syracuse,hakim-warrick-1
56,Jared Dudley,2071,CHA,1,22,2007,Boston College,2003-04,2006-07,130,130,21.0,,,12.9,8.1,.178,,,,,,,12.1,17.4,,0.5,13.3,21.5,F,Boston College,jared-dudley-1
57,Justin James,2061,SAC,2,40,2019,Wyoming,2015-16,2018-19,131,73,10.7,102,103,5.8,4.9,.116,2.6,0.3,2.8,20.1,3.3,17.9,10.8,23.7,1.8,1.9,14.7,30.9,G,Wyoming,justin-james-2
58,Isaiah Canaan,2050,HOU,2,34,2013,Murray State,2009-10,2012-13,132,83,20.4,119,98,14.3,6.1,.210,5.2,0.1,5.3,22.9,2.4,9.3,5.9,22.2,2.4,0.3,15.5,26.7,G,Murray State,isaiah-canaan-1
59,Eddie House II,2044,MIA,2,37,2000,Arizona State,1996-97,1999-00,124,114,11.7,,,6.7,5.0,.113,,,,,,,,,,,10.9,,G,Arizona State,eddie-house-1
60,Kameron Jones,2044,SAS,2,38,2025,Marquette,2021-22,2024-25,137,113,16.3,117,104,10.9,5.4,.170,6.3,2.3,8.6,21.4,1.6,11.4,6.5,21.2,2.4,0.6,8.9,25.7,G,Marquette,kam-jones-1
61,Jason Thompson,2040,SAC,1,12,2008,Rider,2004-05,2007-08,122,112,16.8,,,9.8,6.9,.171,,,,,,,16.7,14.3,,4.0,15.1,26.8,C,Rider,jason-thompson-1
62,Julius Hodge,2040,DEN,1,20,2005,NC State,2001-02,2004-05,129,125,18.7,,,11.3,7.5,.176,,,,,,,11.1,23.3,,1.4,15.7,25.6,G,NC State,julius-hodge-1
63,Mike Muscala,2036,DAL,2,44,2013,Bucknell,2009-10,2012-13,133,118,22.9,118,92,14.6,8.3,.241,6.3,2.6,8.9,29.5,10.1,24.9,17.8,13.7,0.9,7.9,10.9,28.4,F,Bucknell,mike-muscala-1
64,Alijah Martin,2022,TOR,2,39,2025,Florida,2020-21,2024-25,162,122,19.2,118,99,11.3,7.9,.179,4.6,2.2,6.8,20.2,5.5,14.8,10.3,10.8,2.8,1.0,11.7,23.0,G,FloridaFlorida Atlantic,alijah-martin-1
65,Kevin Murphy,2019,UTA,2,47,2012,Tennessee Tech,2008-09,2011-12,128,109,10.3,104,106,7.0,3.2,.110,1.8,-1.7,0.1,19.2,3.3,14.2,8.8,14.5,1.6,0.6,17.0,30.0,G,Tennessee Tech,kevin-murphy-1
66,Speedy Claxton,2015,PHI,1,20,2000,Hofstra,1996-97,1999-00,119,59,19.4,,,9.9,9.5,.191,,,,,,,,,,,16.6,,G,Hofstra,speedy-claxton-1
67,Tristen Newton,2013,IND,2,49,2024,Connecticut,2019-20,2023-24,157,143,19.9,112,100,12.0,7.9,.161,3.8,2.2,6.0,18.7,3.8,14.4,9.2,29.5,2.1,1.1,17.5,22.8,G,ConnecticutEast Carolina,tristen-newton-1
68,Brandon Hunter,2012,BOS,2,56,2003,Ohio,1999-00,2002-03,119,119,13.4,,,8.8,4.6,.138,,,,,,,16.8,14.8,,2.2,18.1,29.4,F,Ohio,brandon-hunter-1
69,Quinndary Weatherspoon,2012,SAS,2,49,2019,Mississippi State,2015-16,2018-19,131,117,16.8,114,101,10.6,6.2,.165,4.7,2.3,7.0,21.8,5.4,13.3,9.4,15.5,2.8,1.2,15.1,24.8,G,Mississippi State,quinndary-weatherspoon-1
70,Shan Foster,2011,DAL,2,51,2008,Vanderbilt,2004-05,2007-08,132,122,17.2,,,13.2,4.0,.172,,,,,,,7.4,10.6,,0.5,10.9,23.0,G,Vanderbilt,shan-foster-1
71,Troy Murphy,2011,GSW,1,14,2001,Notre Dame,1998-99,2000-01,94,93,15.9,,,11.5,4.5,.193,,,,,,,,,,,14.1,,F,Notre Dame,troy-murphy-1
72,Robert Vaden,2010,CHA,2,54,2009,UAB,2004-05,2008-09,127,127,15.1,,,8.7,6.3,.135,,,,,,,7.8,15.8,,0.7,15.9,25.4,G,IndianaUAB,robert-vaden-1
73,Kenneth Faried,2009,DEN,1,22,2011,Morehead State,2007-08,2010-11,136,122,24.3,118,84,11.8,12.4,.245,6.2,2.3,8.5,33.5,18.2,33.9,25.8,6.0,3.3,8.5,14.9,26.1,F,Morehead State,kenneth-faried-1
74,Romain Sato,2005,SAS,2,52,2004,Xavier,2000-01,2003-04,130,130,20.2,,,10.5,9.6,.178,,,,,,,11.8,12.2,,0.7,10.7,22.5,G,Xavier,romain-sato-1
75,Grayson Allen,1996,UTA,1,21,2018,Duke,2014-15,2017-18,142,97,18.8,123,104,13.9,4.9,.189,5.9,2.2,8.1,21.4,2.3,10.1,6.4,19.6,2.1,0.3,12.4,24.1,G,Duke,grayson-allen-1
76,Jeryl Sasser Jr,1992,ORL,1,22,2001,SMU,1997-98,2000-01,117,111,14.6,,,2.9,11.6,.144,,,,,,,,,,,13.6,,G,SMU,jeryl-sasser-1
77,Steve Logan,1985,GSW,2,30,2002,Cincinnati,1998-99,2001-02,135,106,18.2,,,11.7,6.6,.187,,,,,,,,,,,11.5,,G,Cincinnati,steve-logan-1
78,Shane Battier,1984,MEM,1,6,2001,Duke,1997-98,2000-01,146,120,29.8,,,13.5,16.3,.275,,,,,,,,,,,9.3,,F,Duke,shane-battier-1
79,Jermaine Taylor,1979,WAS,2,32,2009,UCF,2005-06,2008-09,122,60,14.6,,,10.6,4.1,.186,,,,,,,9.4,14.4,,1.3,13.3,34.0,G,Central FloridaUCF,jermaine-taylor-1
80,Norris Cole,1978,CHI,1,28,2011,Cleveland State,2007-08,2010-11,140,106,16.9,113,98,10.5,6.4,.165,6.7,3.5,10.2,25.6,2.0,13.0,6.4,26.0,3.5,0.3,13.4,26.8,G,Cleveland State,norris-cole-1
81,Luke Jackson,1970,CLE,1,10,2004,Oregon,2000-01,2003-04,126,102,15.7,,,10.8,4.9,.172,,,,,,,12.0,21.1,,0.7,14.9,24.5,G,Oregon,luke-jackson-1
82,Cassius Winston,1969,OKC,2,53,2020,Michigan State,2016-17,2019-20,139,108,20.9,120,100,14.7,6.2,.209,7.0,2.2,9.2,22.4,1.0,8.7,5.2,42.8,1.8,0.3,18.6,25.5,G,Michigan State,cassius-winston-1
83,Randy Foye,1966,BOS,1,7,2006,Villanova,2002-03,2005-06,131,128,13.2,,,4.7,8.5,.129,,,,,,,8.6,23.2,,0.9,16.3,28.6,G,Villanova,randy-foye-1
84,Salim Stoudamire,1960,ATL,2,31,2005,Arizona,2001-02,2004-05,129,117,17.0,,,14.1,2.8,.176,,,,,,,4.1,13.3,,0.2,14.7,22.3,G,Arizona,salim-stoudamire-1
85,Shabazz Napier,1959,CHA,1,24,2014,Connecticut,2010-11,2013-14,143,98,20.2,114,99,12.8,7.4,.175,5.1,3.3,8.5,21.6,2.7,11.6,7.3,29.2,3.4,0.7,16.7,24.0,G,Connecticut,shabazz-napier-1
86,Eric Maynor,1953,UTA,1,20,2009,VCU,2005-06,2008-09,130,104,17.7,,,9.8,7.9,.177,,,,,,,6.4,36.3,,0.3,15.3,26.3,G,VCU,eric-maynor-1
87,Melvin Ely,1951,LAC,1,12,2002,Fresno State,1998-99,2001-02,124,92,21.1,,,11.3,9.8,.209,,,,,,,,,,,15.6,,C,Fresno State,melvin-ely-1
88,Ike Diogu,1946,GSW,1,9,2005,Arizona State,2002-03,2004-05,91,91,20.5,,,15.0,5.5,.257,,,,,,,14.6,9.3,,3.9,17.0,27.6,F,Arizona State,ike-diogu-1
89,Reece Gaines,1945,ORL,1,15,2003,Louisville,1999-00,2002-03,125,123,16.7,,,10.6,6.1,.169,,,,,,,6.0,23.4,,0.7,16.4,26.9,G,Louisville,reece-gaines-1
90,Lawrence Roberts III,1942,OKC,2,55,2005,Mississippi State,2001-02,2004-05,118,117,17.2,,,6.5,10.8,.186,,,,,,,17.9,10.4,,1.8,13.2,27.0,F,BaylorMississippi State,lawrence-roberts-1
91,Sindarius Thornwell,1941,MIL,2,48,2017,South Carolina,2013-14,2016-17,132,132,16.1,108,97,8.2,7.9,.153,4.4,3.3,7.7,19.2,5.7,13.0,9.3,20.4,2.8,2.2,15.0,25.8,G,South Carolina,sindarius-thornwell-1
92,Payton Pritchard,1938,BOS,1,26,2020,Oregon,2016-17,2019-20,144,140,20.8,118,101,13.6,7.2,.171,4.2,2.5,6.7,19.3,2.4,10.8,6.7,25.9,2.6,0.2,14.6,21.2,G,Oregon,payton-pritchard-1
93,Damian Lillard,1934,POR,1,6,2012,Weber State,2008-09,2011-12,104,98,17.6,124,103,14.2,3.4,.209,8.5,0.7,9.2,29.3,1.7,14.2,8.1,24.3,2.3,0.6,13.4,28.6,G,Weber State,damian-lillard-1
94,Shelden Williams,1928,ATL,1,5,2006,Duke,2002-03,2005-06,139,128,29.2,,,12.4,16.8,.299,,,,,,,18.3,6.3,,7.3,16.9,24.0,F,Duke,shelden-williams-1
95,Keith Bogans,1923,MIL,2,43,2003,Kentucky,1999-00,2002-03,135,122,14.9,,,8.2,6.8,.153,,,,,,,,,,,14.7,,G,Kentucky,keith-bogans-1
