--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,PTS,STL%,BLK%,OBPM,DBPM,PER,ORB%,DRB%,TS%,3PAr,eFG%,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
49,Isaiah Wong,1866,1.9,1.3,3.5,0.5,19.0,3.4,12.0,.553,.356,.502,IND,2,55,2023,Miami (FL),2019-20,2022-23,132,112,13.1,111,107,9.7,3.4,.128,3.5,0.5,4.0,19.0,3.4,12.0,7.8,13.8,1.9,1.3,11.9,24.2,G,Miami (FL),isaiah-wong-1
50,Aaron White,1859,2.3,2.4,6.4,2.5,24.9,8.4,18.0,.611,.190,.543,WAS,2,49,2015,Iowa,2011-12,2014-15,140,119,20.6,124,98,14.0,6.6,.209,6.4,2.5,8.9,24.9,8.4,18.0,13.2,10.1,2.3,2.4,12.2,22.1,F,Iowa,aaron-white-3
51,Marcus Paige,1844,2.5,0.8,4.7,3.0,17.8,1.3,8.3,.553,.542,.509,NJN,2,55,2016,North Carolina,2012-13,2015-16,141,139,17.3,117,102,11.2,6.0,.151,4.7,3.0,7.7,17.8,1.3,8.3,4.8,22.3,2.5,0.8,14.1,20.2,G,North Carolina,marcus-paige-1
52,Enrique Freeman,1843,1.2,5.5,4.6,1.6,29.4,13.2,31.2,.651,.053,.637,IND,2,50,2024,Akron,2019-20,2023-24,132,122,22.6,125,93,14.0,8.6,.246,4.6,1.6,6.2,29.4,13.2,31.2,22.4,10.8,1.2,5.5,15.3,23.7,F,Akron,enrique-freeman-1
53,Jordan Miller,1824,2.2,1.5,4.1,0.8,20.6,8.5,13.3,.585,.255,.557,LAC,2,48,2023,Miami (FL),2018-19,2022-23,142,133,18.4,120,104,12.9,5.4,.160,4.1,0.8,4.9,20.6,8.5,13.3,10.9,10.1,2.2,1.5,11.2,19.5,G,George MasonMiami (FL),jordan-miller-2
54,R.J. Hunter,1819,3.4,3.4,6.2,1.0,25.9,2.5,14.4,.579,.541,.519,BOS,1,28,2015,Georgia State,2012-13,2014-15,99,98,17.5,119,99,12.0,5.5,.203,6.2,1.0,7.1,25.9,2.5,14.4,8.6,15.0,3.4,3.4,9.7,27.5,G,Georgia State,rj-hunter-1
55,Malcolm Brogdon,1809,1.9,0.9,4.8,3.8,20.6,2.6,14.3,.556,.362,.496,MIL,2,36,2016,Virginia,2011-12,2015-16,136,109,20.3,115,94,11.4,9.0,.196,4.8,3.8,8.6,20.6,2.6,14.3,8.7,17.7,1.9,0.9,11.3,25.3,G,Virginia,malcolm-brogdon-1
56,Jaime Jaquez Jr.,1802,2.5,1.9,5.2,3.2,21.6,7.4,16.6,.550,.249,.516,MIA,1,18,2023,UCLA,2019-20,2022-23,134,126,19.2,115,96,11.3,7.9,.183,5.2,3.2,8.4,21.6,7.4,16.6,12.0,12.5,2.5,1.9,10.9,22.5,G,UCLA,jaime-jaquezjr-1
57,John Tonje,1796,1.3,1.0,3.8,0.5,18.3,3.1,13.9,.615,.498,.551,UTA,2,53,2025,Wisconsin,2019-20,2024-25,167,87,14.2,117,105,9.8,4.4,.148,3.8,0.5,4.2,18.3,3.1,13.9,8.8,8.8,1.3,1.0,12.7,23.1,G,Colorado StateMissouriWisconsin,john-tonje-1
58,Desmond Bane,1784,1.8,1.4,4.8,2.3,19.2,3.8,14.3,.611,.432,.589,BOS,1,30,2020,TCU,2016-17,2019-20,141,114,16.8,120,103,11.2,5.6,.157,4.8,2.3,7.1,19.2,3.8,14.3,9.1,16.1,1.8,1.4,13.1,19.9,G,TCU,desmond-bane-1
59,Kemba Walker,1783,3.2,0.7,9.2,3.9,25.7,3.5,10.6,.539,.287,.475,CHA,1,9,2011,Connecticut,2008-09,2010-11,111,77,17.9,117,99,11.5,6.4,.196,9.2,3.9,13.1,25.7,3.5,10.6,7.3,26.6,3.2,0.7,13.5,26.2,G,Connecticut,kemba-walker-1
60,Kevin Hervey,1783,2.0,2.1,4.3,0.7,22.7,7.6,23.1,.547,.439,.511,OKC,2,57,2018,UT Arlington,2014-15,2017-18,115,84,14.1,110,95,7.5,6.6,.177,4.3,0.7,5.0,22.7,7.6,23.1,15.5,14.5,2.0,2.1,12.6,27.8,F,UT Arlington,kevin-hervey-1
61,Dillon Jones,1782,3.1,0.2,3.8,2.1,24.1,4.2,32.1,.605,.272,.542,WAS,1,26,2024,Weber State,2020-21,2023-24,119,96,19.2,114,94,10.7,8.5,.197,3.8,2.1,5.9,24.1,4.2,32.1,18.4,22.1,3.1,0.2,17.8,24.5,F,Weber State,dillon-jones-1
62,Marcus Denmon,1775,2.8,0.4,8.6,1.7,24.4,3.9,12.1,.596,.538,.563,SAS,2,59,2012,Missouri,2008-09,2011-12,141,71,17.8,128,100,12.3,5.5,.198,8.6,1.7,10.4,24.4,3.9,12.1,7.9,12.2,2.8,0.4,8.6,22.2,G,Missouri,marcus-denmon-1
